Day,00:00-02:00,02:00-04:00,04:00-06:00,06:00-08:00,08:00-10:00,10:00-12:00,12:00-14:00,14:00-16:00,16:00-18:00,18:00-20:00,20:00-22:00,22:00-23:59,Only on Gas (DKK/kWh),Mixed usage (DKK/kWh),Potential savings (%)
2023-10-31,"Gas (1.4018, 0.723, 93.9%)","Gas (1.3549, 0.723, 87.4%)","Gas (1.37, 0.723, 89.5%)","Gas (1.4349, 0.723, 98.5%)","Gas (1.4613, 0.723, 102.1%)","Gas (1.4853, 0.723, 105.4%)","Gas (1.5025, 0.723, 107.8%)","Gas (1.5378, 0.723, 112.7%)","Gas (1.5976, 0.723, 121.0%)","Gas (1.6264, 0.723, 125.0%)","Gas (1.6301, 0.723, 125.5%)","Gas (1.6265, 0.723, 125.0%)",0.723,0.723,0.0
2023-10-30,"Gas (0.9154, 0.784, 16.8%)","Gas (0.9127, 0.784, 16.4%)","Gas (0.999, 0.784, 27.4%)","Gas (1.0953, 0.784, 39.7%)","Gas (1.1499, 0.784, 46.7%)","Gas (1.1831, 0.784, 50.9%)","Gas (1.2127, 0.784, 54.7%)","Gas (1.2502, 0.784, 59.5%)","Gas (1.2912, 0.784, 64.7%)","Gas (1.3077, 0.784, 66.8%)","Gas (1.3229, 0.784, 68.7%)","Gas (1.33, 0.784, 69.6%)",0.784,0.784,0.0
2023-10-29,"Gas (0.849, 0.781, 8.7%)","Gas (0.8397, 0.781, 7.5%)","Gas (0.8297, 0.781, 6.2%)","Gas (0.8268, 0.781, 5.9%)","Gas (0.8276, 0.781, 6.0%)","Gas (0.828, 0.781, 6.0%)","Gas (0.8284, 0.781, 6.1%)","Gas (0.8336, 0.781, 6.7%)","Gas (0.8818, 0.781, 12.9%)","Gas (0.9367, 0.781, 19.9%)","Gas (0.971, 0.781, 24.3%)","Gas (0.9923, 0.781, 27.1%)","Gas (0.9973, 0.781, 27.7%)",0.781,0.781,0.0
2023-10-28,"Gas (1.3297, 0.78, 70.5%)","Gas (1.2922, 0.78, 65.7%)","Gas (1.2951, 0.78, 66.0%)","Gas (1.3338, 0.78, 71.0%)","Gas (1.3674, 0.78, 75.3%)","Gas (1.3694, 0.78, 75.6%)","Gas (1.3717, 0.78, 75.9%)","Gas (1.3843, 0.78, 77.5%)","Gas (1.4346, 0.78, 83.9%)","Gas (1.4371, 0.78, 84.2%)","Gas (1.4247, 0.78, 82.7%)","Gas (1.4148, 0.78, 81.4%)",0.78,0.78,0.0
2023-10-27,"Gas (1.5505, 0.779, 99.0%)","Gas (1.5447, 0.779, 98.3%)","Gas (1.5841, 0.779, 103.4%)","Gas (1.6669, 0.779, 114.0%)","Gas (1.6993, 0.779, 118.1%)","Gas (1.7044, 0.779, 118.8%)","Gas (1.6969, 0.779, 117.8%)","Gas (1.6952, 0.779, 117.6%)","Gas (1.7116, 0.779, 119.7%)","Gas (1.7234, 0.779, 121.2%)","Gas (1.7109, 0.779, 119.6%)","Gas (1.7034, 0.779, 118.7%)",0.779,0.779,0.0
2023-10-26,"Gas (1.2133, 0.783, 55.0%)","Gas (1.2355, 0.783, 57.8%)","Gas (1.2616, 0.783, 61.1%)","Gas (1.2861, 0.783, 64.3%)","Gas (1.3042, 0.783, 66.6%)","Gas (1.321, 0.783, 68.7%)","Gas (1.3301, 0.783, 69.9%)","Gas (1.3659, 0.783, 74.4%)","Gas (1.4267, 0.783, 82.2%)","Gas (1.4728, 0.783, 88.1%)","Gas (1.4924, 0.783, 90.6%)","Gas (1.4944, 0.783, 90.9%)",0.783,0.783,0.0
2023-10-25,"Gas (1.2097, 0.77, 57.1%)","Gas (1.2092, 0.77, 57.0%)","Gas (1.2206, 0.77, 58.5%)","Gas (1.2859, 0.77, 67.0%)","Gas (1.3712, 0.77, 78.1%)","Gas (1.4314, 0.77, 85.9%)","Gas (1.4747, 0.77, 91.5%)","Gas (1.4897, 0.77, 93.5%)","Gas (1.4942, 0.77, 94.1%)","Gas (1.4793, 0.77, 92.1%)","Gas (1.4945, 0.77, 94.1%)","Gas (1.4941, 0.77, 94.0%)",0.77,0.77,0.0
2023-10-24,"Gas (1.5407, 0.785, 96.3%)","Gas (1.5174, 0.785, 93.3%)","Gas (1.5092, 0.785, 92.3%)","Gas (1.5434, 0.785, 96.6%)","Gas (1.5134, 0.785, 92.8%)","Gas (1.4848, 0.785, 89.1%)","Gas (1.4626, 0.785, 86.3%)","Gas (1.4447, 0.785, 84.0%)","Gas (1.4318, 0.785, 82.4%)","Gas (1.4201, 0.785, 80.9%)","Gas (1.4077, 0.785, 79.3%)","Gas (1.4015, 0.785, 78.5%)",0.785,0.785,0.0
2023-10-23,"Gas (1.4258, 0.769, 85.4%)","Gas (1.393, 0.769, 81.1%)","Gas (1.4628, 0.769, 90.2%)","Gas (1.6308, 0.769, 112.1%)","Gas (1.6751, 0.769, 117.8%)","Gas (1.6665, 0.769, 116.7%)","Gas (1.6597, 0.769, 115.8%)","Gas (1.6782, 0.769, 118.2%)","Gas (1.7147, 0.769, 123.0%)","Gas (1.7312, 0.769, 125.1%)","Gas (1.7217, 0.769, 123.9%)","Gas (1.7134, 0.769, 122.8%)",0.769,0.769,0.0
2023-10-22,"Gas (1.0313, 0.77, 33.9%)","Gas (0.9942, 0.77, 29.1%)","Gas (1.0136, 0.77, 31.6%)","Gas (1.0638, 0.77, 38.2%)","Gas (1.0922, 0.77, 41.8%)","Gas (1.1057, 0.77, 43.6%)","Gas (1.0995, 0.77, 42.8%)","Gas (1.1157, 0.77, 44.9%)","Gas (1.1334, 0.77, 47.2%)","Gas (1.1455, 0.77, 48.8%)","Gas (1.1535, 0.77, 49.8%)","Gas (1.1563, 0.77, 50.2%)",0.77,0.77,0.0
