,00:00-02:00,02:00-04:00,04:00-06:00,06:00-08:00,08:00-10:00,10:00-12:00,12:00-14:00,14:00-16:00,16:00-18:00,18:00-20:00,20:00-22:00,22:00-23:59,Only on Gas,Mixed usage,procentage saved
2023-10-31,Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5086,0
2023-10-30,Electricity (0.169),Electricity (0.1663),Electricity (0.2685),Electricity (0.386),Electricity (0.4541),Electricity (0.4966),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.416,18.21
2023-10-29,Electricity (0.1026),Electricity (0.0873),Electricity (0.0803),Electricity (0.1056),Electricity (0.122),Electricity (0.1331),Electricity (0.1418),Electricity (0.1701),Electricity (0.2566),Electricity (0.3393),Electricity (0.3816),Electricity (0.3937),0.5086,0.1928,62.09
2023-10-28,Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5086,0
2023-10-27,Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5086,0
2023-10-26,Electricity (0.4669),Electricity (0.4891),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5035,1
2023-10-25,Electricity (0.4633),Electricity (0.4628),Electricity (0.486),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.4991,1.87
2023-10-24,Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5086,0
2023-10-23,Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5086,0
2023-10-22,Electricity (0.2849),Electricity (0.2478),Electricity (0.2831),Electricity (0.3545),Electricity (0.3964),Electricity (0.4193),Electricity (0.4198),Electricity (0.4413),Electricity (0.5044),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.4064,20.09
2023-10-21,Electricity (0.3529),Electricity (0.3406),Electricity (0.3597),Electricity (0.4078),Electricity (0.4349),Electricity (0.4279),Electricity (0.4085),Electricity (0.4228),Electricity (0.5027),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.432,15.06
2023-10-20,Electricity (0.1117),Electricity (0.1096),Electricity (0.1352),Electricity (0.1841),Electricity (0.2088),Electricity (0.2205),Electricity (0.227),Electricity (0.2364),Electricity (0.2955),Electricity (0.3477),Electricity (0.3565),Electricity (0.3601),0.5086,0.2328,54.23
2023-10-19,Electricity (0.1218),Electricity (0.1057),Electricity (0.1404),Electricity (0.2078),Electricity (0.2527),Electricity (0.2815),Electricity (0.3011),Electricity (0.3142),Electricity (0.3662),Electricity (0.3996),Electricity (0.3882),Electricity (0.3823),0.5086,0.2718,46.56
2023-10-18,Electricity (0.5),Electricity (0.4635),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5041,0.88
2023-10-17,Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5086,0
2023-10-16,Electricity (0.3537),Electricity (0.3616),Electricity (0.4043),Electricity (0.4839),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.4727,7.06
2023-10-15,Electricity (0.0653),Electricity (0.0653),Electricity (0.0841),Electricity (0.1107),Electricity (0.1283),Electricity (0.1379),Electricity (0.1441),Electricity (0.1505),Electricity (0.2217),Electricity (0.2816),Electricity (0.2975),Electricity (0.3047),0.5086,0.166,67.36
2023-10-14,Electricity (0.0564),Electricity (0.054),Electricity (0.0726),Electricity (0.1046),Electricity (0.122),Electricity (0.1317),Electricity (0.1379),Electricity (0.1447),Electricity (0.1922),Electricity (0.2307),Electricity (0.2277),Electricity (0.2264),0.5086,0.1417,72.14
2023-10-13,Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5086,0
2023-10-12,Electricity (0.0792),Electricity (0.0825),Electricity (0.1204),Electricity (0.1802),Electricity (0.219),Electricity (0.244),Electricity (0.2653),Electricity (0.2982),Electricity (0.4522),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.2889,43.2
2023-10-11,Electricity (0.0751),Electricity (0.0712),Electricity (0.0906),Electricity (0.1345),Electricity (0.1601),Electricity (0.1662),Electricity (0.1701),Electricity (0.1764),Electricity (0.2312),Electricity (0.2754),Electricity (0.2735),Electricity (0.2718),0.5086,0.1747,65.65
2023-10-10,Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5086,0
2023-10-09,Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5086,0
2023-10-08,Electricity (0.2794),Electricity (0.3787),Electricity (0.4789),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.4762,6.37
2023-10-07,Electricity (0.0472),Electricity (0.0484),Electricity (0.07),Electricity (0.0984),Electricity (0.1365),Electricity (0.1629),Electricity (0.1678),Electricity (0.2078),Electricity (0.3218),Electricity (0.4149),Electricity (0.4174),Electricity (0.4166),0.5086,0.2091,58.89
2023-10-06,Electricity (0.4444),Electricity (0.3022),Electricity (0.2632),Electricity (0.2759),Electricity (0.2762),Electricity (0.2706),Electricity (0.2618),Electricity (0.2559),Electricity (0.293),Electricity (0.3221),Electricity (0.3111),Electricity (0.3059),0.5086,0.2985,41.31
2023-10-05,Electricity (0.065),Electricity (0.065),Electricity (0.087),Electricity (0.1232),Electricity (0.1467),Electricity (0.1615),Electricity (0.171),Electricity (0.2041),Electricity (0.3529),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.2419,52.44
2023-10-04,Electricity (0.0655),Electricity (0.0651),Electricity (0.0854),Electricity (0.118),Electricity (0.1368),Electricity (0.1478),Electricity (0.1554),Electricity (0.1619),Electricity (0.2094),Electricity (0.2468),Electricity (0.2424),Electricity (0.2404),0.5086,0.1562,69.29
2023-10-03,Gas (0.5086),Gas (0.5086),Electricity (0.4223),Electricity (0.4119),Electricity (0.3758),Electricity (0.3503),Electricity (0.3303),Electricity (0.3144),Electricity (0.3515),Electricity (0.3801),Electricity (0.3662),Electricity (0.3593),0.5086,0.3899,23.34
2023-10-02,Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5086,0
2023-10-01,Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),Gas (0.5086),0.5086,0.5086,0
