Day,00:00-02:00,02:00-04:00,04:00-06:00,06:00-08:00,08:00-10:00,10:00-12:00,12:00-14:00,14:00-16:00,16:00-18:00,18:00-20:00,20:00-22:00,22:00-23:59,Only on Gas (DKK/kWh),Mixed usage (DKK/kWh),Potential savings (%)
2023-10-31,"Gas (1.3148, 0.866, 51.8%)","Gas (1.2679, 0.866, 46.4%)","Gas (1.283, 0.866, 48.2%)","Gas (1.3479, 0.866, 55.6%)","Gas (1.3743, 0.866, 58.7%)","Gas (1.3983, 0.866, 61.5%)","Gas (1.4155, 0.866, 63.5%)","Gas (1.4508, 0.866, 67.5%)","Gas (1.5106, 0.866, 74.4%)","Gas (1.5394, 0.866, 77.8%)","Gas (1.5431, 0.866, 78.2%)","Gas (1.5395, 0.866, 77.8%)",0.866,0.866,0.0
2023-10-30,"Electricity (0.8284, 0.927, 10.6%)","Electricity (0.8257, 0.927, 10.9%)","Electricity (0.912, 0.927, 1.6%)","Gas (1.0083, 0.927, 8.8%)","Gas (1.0629, 0.927, 14.7%)","Gas (1.0961, 0.927, 18.2%)","Gas (1.1257, 0.927, 21.4%)","Gas (1.1632, 0.927, 25.5%)","Gas (1.2042, 0.927, 29.9%)","Gas (1.2207, 0.927, 31.7%)","Gas (1.2359, 0.927, 33.3%)","Gas (1.243, 0.927, 34.1%)",0.927,0.9091,1.93
2023-10-29,"Electricity (0.762, 0.924, 17.5%)","Electricity (0.7527, 0.924, 18.5%)","Electricity (0.7427, 0.924, 19.6%)","Electricity (0.7398, 0.924, 19.9%)","Electricity (0.7406, 0.924, 19.8%)","Electricity (0.741, 0.924, 19.8%)","Electricity (0.7414, 0.924, 19.8%)","Electricity (0.7466, 0.924, 19.2%)","Electricity (0.7948, 0.924, 14.0%)","Electricity (0.8497, 0.924, 8.0%)","Electricity (0.884, 0.924, 4.3%)","Electricity (0.9053, 0.924, 2.0%)","Electricity (0.9103, 0.924, 1.5%)",0.924,0.7931,14.17
2023-10-28,"Gas (1.2427, 0.923, 34.6%)","Gas (1.2052, 0.923, 30.6%)","Gas (1.2081, 0.923, 30.9%)","Gas (1.2468, 0.923, 35.1%)","Gas (1.2804, 0.923, 38.7%)","Gas (1.2824, 0.923, 38.9%)","Gas (1.2847, 0.923, 39.2%)","Gas (1.2973, 0.923, 40.6%)","Gas (1.3476, 0.923, 46.0%)","Gas (1.3501, 0.923, 46.3%)","Gas (1.3377, 0.923, 44.9%)","Gas (1.3278, 0.923, 43.9%)",0.923,0.923,0.0
2023-10-27,"Gas (1.4635, 0.922, 58.7%)","Gas (1.4577, 0.922, 58.1%)","Gas (1.4971, 0.922, 62.4%)","Gas (1.5799, 0.922, 71.4%)","Gas (1.6123, 0.922, 74.9%)","Gas (1.6174, 0.922, 75.4%)","Gas (1.6099, 0.922, 74.6%)","Gas (1.6082, 0.922, 74.4%)","Gas (1.6246, 0.922, 76.2%)","Gas (1.6364, 0.922, 77.5%)","Gas (1.6239, 0.922, 76.1%)","Gas (1.6164, 0.922, 75.3%)",0.922,0.922,0.0
2023-10-26,"Gas (1.1263, 0.925, 21.8%)","Gas (1.1485, 0.925, 24.2%)","Gas (1.1746, 0.925, 27.0%)","Gas (1.1991, 0.925, 29.6%)","Gas (1.2172, 0.925, 31.6%)","Gas (1.234, 0.925, 33.4%)","Gas (1.2431, 0.925, 34.4%)","Gas (1.2789, 0.925, 38.3%)","Gas (1.3397, 0.925, 44.8%)","Gas (1.3858, 0.925, 49.8%)","Gas (1.4054, 0.925, 51.9%)","Gas (1.4074, 0.925, 52.2%)",0.925,0.925,0.0
2023-10-25,"Gas (1.1227, 0.913, 23.0%)","Gas (1.1222, 0.913, 22.9%)","Gas (1.1336, 0.913, 24.2%)","Gas (1.1989, 0.913, 31.3%)","Gas (1.2842, 0.913, 40.7%)","Gas (1.3444, 0.913, 47.3%)","Gas (1.3877, 0.913, 52.0%)","Gas (1.4027, 0.913, 53.6%)","Gas (1.4072, 0.913, 54.1%)","Gas (1.3923, 0.913, 52.5%)","Gas (1.4075, 0.913, 54.2%)","Gas (1.4071, 0.913, 54.1%)",0.913,0.913,0.0
2023-10-24,"Gas (1.4537, 0.928, 56.6%)","Gas (1.4304, 0.928, 54.1%)","Gas (1.4222, 0.928, 53.3%)","Gas (1.4564, 0.928, 56.9%)","Gas (1.4264, 0.928, 53.7%)","Gas (1.3978, 0.928, 50.6%)","Gas (1.3756, 0.928, 48.2%)","Gas (1.3577, 0.928, 46.3%)","Gas (1.3448, 0.928, 44.9%)","Gas (1.3331, 0.928, 43.7%)","Gas (1.3207, 0.928, 42.3%)","Gas (1.3145, 0.928, 41.6%)",0.928,0.928,0.0
2023-10-23,"Gas (1.3388, 0.912, 46.8%)","Gas (1.306, 0.912, 43.2%)","Gas (1.3758, 0.912, 50.9%)","Gas (1.5438, 0.912, 69.3%)","Gas (1.5881, 0.912, 74.1%)","Gas (1.5795, 0.912, 73.2%)","Gas (1.5727, 0.912, 72.4%)","Gas (1.5912, 0.912, 74.5%)","Gas (1.6277, 0.912, 78.5%)","Gas (1.6442, 0.912, 80.3%)","Gas (1.6347, 0.912, 79.2%)","Gas (1.6264, 0.912, 78.3%)",0.912,0.912,0.0
2023-10-22,"Gas (0.9444, 0.912, 3.6%)","Electricity (0.9072, 0.912, 0.5%)","Gas (0.9266, 0.912, 1.6%)","Gas (0.9768, 0.912, 7.1%)","Gas (1.0052, 0.912, 10.2%)","Gas (1.0187, 0.912, 11.7%)","Gas (1.0125, 0.912, 11.0%)","Gas (1.0287, 0.912, 12.8%)","Gas (1.0464, 0.912, 14.7%)","Gas (1.0585, 0.912, 16.1%)","Gas (1.0665, 0.912, 16.9%)","Gas (1.0693, 0.912, 17.2%)",0.912,0.9116,0.04
2023-10-21,"Gas (1.0123, 0.9, 12.5%)","Gas (1.0, 0.9, 11.1%)","Gas (1.0073, 0.9, 11.9%)","Gas (1.0397, 0.9, 15.5%)","Gas (1.0568, 0.9, 17.4%)","Gas (1.0429, 0.9, 15.9%)","Gas (1.0184, 0.9, 13.2%)","Gas (1.0288, 0.9, 14.3%)","Gas (1.0644, 0.9, 18.3%)","Gas (1.076, 0.9, 19.6%)","Gas (1.0805, 0.9, 20.1%)","Gas (1.0789, 0.9, 19.9%)",0.9,0.9,0.0
2023-10-20,"Electricity (0.7711, 0.906, 14.9%)","Electricity (0.769, 0.906, 15.1%)","Electricity (0.7828, 0.906, 13.6%)","Electricity (0.816, 0.906, 9.9%)","Electricity (0.8307, 0.906, 8.3%)","Electricity (0.8354, 0.906, 7.8%)","Electricity (0.8369, 0.906, 7.6%)","Electricity (0.8425, 0.906, 7.0%)","Electricity (0.8573, 0.906, 5.4%)","Electricity (0.8736, 0.906, 3.6%)","Electricity (0.8856, 0.906, 2.3%)","Electricity (0.89, 0.906, 1.8%)",0.906,0.8326,8.1
2023-10-19,"Electricity (0.7812, 0.888, 12.0%)","Electricity (0.7651, 0.888, 13.8%)","Electricity (0.788, 0.888, 11.3%)","Electricity (0.8397, 0.888, 5.4%)","Electricity (0.8746, 0.888, 1.5%)","Gas (0.8964, 0.888, 0.9%)","Gas (0.911, 0.888, 2.6%)","Gas (0.9202, 0.888, 3.6%)","Gas (0.928, 0.888, 4.5%)","Gas (0.9255, 0.888, 4.2%)","Gas (0.9173, 0.888, 3.3%)","Gas (0.9122, 0.888, 2.7%)",0.888,0.8554,3.67
2023-10-18,"Gas (1.1594, 0.913, 27.0%)","Gas (1.1229, 0.913, 23.0%)","Gas (1.2026, 0.913, 31.7%)","Gas (1.3773, 0.913, 50.9%)","Gas (1.4122, 0.913, 54.7%)","Gas (1.3981, 0.913, 53.1%)","Gas (1.3793, 0.913, 51.1%)","Gas (1.3701, 0.913, 50.1%)","Gas (1.3889, 0.913, 52.1%)","Gas (1.3664, 0.913, 49.7%)","Gas (1.3378, 0.913, 46.5%)","Gas (1.3222, 0.913, 44.8%)",0.913,0.913,0.0
2023-10-17,"Gas (1.5948, 0.88, 81.2%)","Gas (1.5614, 0.88, 77.4%)","Gas (1.5922, 0.88, 80.9%)","Gas (1.6994, 0.88, 93.1%)","Gas (1.7305, 0.88, 96.6%)","Gas (1.709, 0.88, 94.2%)","Gas (1.6493, 0.88, 87.4%)","Gas (1.6315, 0.88, 85.4%)","Gas (1.6588, 0.88, 88.5%)","Gas (1.6774, 0.88, 90.6%)","Gas (1.6715, 0.88, 89.9%)","Gas (1.6624, 0.88, 88.9%)",0.88,0.88,0.0
2023-10-16,"Gas (1.0131, 0.934, 8.5%)","Gas (1.021, 0.934, 9.3%)","Gas (1.0478, 0.934, 12.2%)","Gas (1.1062, 0.934, 18.4%)","Gas (1.1359, 0.934, 21.6%)","Gas (1.1435, 0.934, 22.4%)","Gas (1.152, 0.934, 23.3%)","Gas (1.2162, 0.934, 30.2%)","Gas (1.3148, 0.934, 40.8%)","Gas (1.4024, 0.934, 50.1%)","Gas (1.436, 0.934, 53.7%)","Gas (1.4442, 0.934, 54.6%)",0.934,0.934,0.0
2023-10-15,"Electricity (0.7247, 0.924, 21.6%)","Electricity (0.7247, 0.924, 21.6%)","Electricity (0.7276, 0.924, 21.3%)","Electricity (0.733, 0.924, 20.7%)","Electricity (0.7371, 0.924, 20.2%)","Electricity (0.7374, 0.924, 20.2%)","Electricity (0.7367, 0.924, 20.3%)","Electricity (0.7379, 0.924, 20.1%)","Electricity (0.7638, 0.924, 17.3%)","Electricity (0.787, 0.924, 14.8%)","Electricity (0.8066, 0.924, 12.7%)","Electricity (0.8154, 0.924, 11.8%)",0.924,0.7527,18.54
2023-10-14,"Electricity (0.7158, 0.907, 21.1%)","Electricity (0.7134, 0.907, 21.3%)","Electricity (0.7203, 0.907, 20.6%)","Electricity (0.7365, 0.907, 18.8%)","Electricity (0.7439, 0.907, 18.0%)","Electricity (0.7467, 0.907, 17.7%)","Electricity (0.7478, 0.907, 17.6%)","Electricity (0.7507, 0.907, 17.2%)","Electricity (0.7539, 0.907, 16.9%)","Electricity (0.7566, 0.907, 16.6%)","Electricity (0.7568, 0.907, 16.6%)","Electricity (0.7563, 0.907, 16.6%)",0.907,0.7416,18.24
2023-10-13,"Gas (1.5849, 0.92, 72.3%)","Gas (1.541, 0.92, 67.5%)","Gas (1.4721, 0.92, 60.0%)","Gas (1.402, 0.92, 52.4%)","Gas (1.3518, 0.92, 46.9%)","Gas (1.2972, 0.92, 41.0%)","Gas (1.233, 0.92, 34.0%)","Gas (1.1826, 0.92, 28.5%)","Gas (1.1453, 0.92, 24.5%)","Gas (1.1212, 0.92, 21.9%)","Gas (1.0913, 0.92, 18.6%)","Gas (1.0766, 0.92, 17.0%)",0.92,0.92,0.0
2023-10-12,"Electricity (0.7386, 0.874, 15.5%)","Electricity (0.7419, 0.874, 15.1%)","Electricity (0.768, 0.874, 12.1%)","Electricity (0.8121, 0.874, 7.1%)","Electricity (0.8409, 0.874, 3.8%)","Electricity (0.8589, 0.874, 1.7%)","Gas (0.8752, 0.874, 0.1%)","Gas (0.9043, 0.874, 3.5%)","Gas (1.014, 0.874, 16.0%)","Gas (1.1232, 0.874, 28.5%)","Gas (1.1734, 0.874, 34.3%)","Gas (1.1896, 0.874, 36.1%)",0.874,0.8337,4.61
2023-10-11,"Electricity (0.7345, 0.87, 15.6%)","Electricity (0.7306, 0.87, 16.0%)","Electricity (0.7382, 0.87, 15.1%)","Electricity (0.7664, 0.87, 11.9%)","Electricity (0.782, 0.87, 10.1%)","Electricity (0.7812, 0.87, 10.2%)","Electricity (0.78, 0.87, 10.3%)","Electricity (0.7824, 0.87, 10.1%)","Electricity (0.793, 0.87, 8.9%)","Electricity (0.8013, 0.87, 7.9%)","Electricity (0.8026, 0.87, 7.7%)","Electricity (0.8017, 0.87, 7.9%)",0.87,0.7745,10.98
2023-10-10,"Gas (1.4815, 0.881, 68.2%)","Gas (1.4724, 0.881, 67.1%)","Gas (1.5221, 0.881, 72.8%)","Gas (1.6874, 0.881, 91.5%)","Gas (1.6894, 0.881, 91.8%)","Gas (1.6622, 0.881, 88.7%)","Gas (1.602, 0.881, 81.8%)","Gas (1.5445, 0.881, 75.3%)","Gas (1.4912, 0.881, 69.3%)","Gas (1.435, 0.881, 62.9%)","Gas (1.3783, 0.881, 56.4%)","Gas (1.3521, 0.881, 53.5%)",0.881,0.881,0.0
2023-10-09,"Gas (1.3734, 0.846, 62.3%)","Gas (1.3412, 0.846, 58.5%)","Gas (1.3548, 0.846, 60.1%)","Gas (1.4168, 0.846, 67.5%)","Gas (1.4524, 0.846, 71.7%)","Gas (1.4606, 0.846, 72.6%)","Gas (1.4675, 0.846, 73.5%)","Gas (1.4802, 0.846, 75.0%)","Gas (1.5277, 0.846, 80.6%)","Gas (1.5973, 0.846, 88.8%)","Gas (1.605, 0.846, 89.7%)","Gas (1.6042, 0.846, 89.6%)",0.846,0.846,0.0
2023-10-08,"Gas (0.9388, 0.794, 18.2%)","Gas (1.0381, 0.794, 30.7%)","Gas (1.1224, 0.794, 41.4%)","Gas (1.2057, 0.794, 51.9%)","Gas (1.2491, 0.794, 57.3%)","Gas (1.2557, 0.794, 58.1%)","Gas (1.242, 0.794, 56.4%)","Gas (1.2533, 0.794, 57.8%)","Gas (1.2974, 0.794, 63.4%)","Gas (1.3492, 0.794, 69.9%)","Gas (1.3662, 0.794, 72.1%)","Gas (1.3702, 0.794, 72.6%)",0.794,0.794,0.0
2023-10-07,"Electricity (0.7066, 0.79, 10.6%)","Electricity (0.7078, 0.79, 10.4%)","Electricity (0.7176, 0.79, 9.2%)","Electricity (0.7303, 0.79, 7.6%)","Electricity (0.7584, 0.79, 4.0%)","Electricity (0.7778, 0.79, 1.5%)","Electricity (0.7777, 0.79, 1.6%)","Gas (0.8138, 0.79, 3.0%)","Gas (0.8835, 0.79, 11.8%)","Gas (0.9408, 0.79, 19.1%)","Gas (0.9465, 0.79, 19.8%)","Gas (0.9466, 0.79, 19.8%)",0.79,0.7605,3.73
2023-10-06,"Gas (1.1038, 0.747, 47.8%)","Gas (0.9616, 0.747, 28.7%)","Gas (0.9108, 0.747, 21.9%)","Gas (0.9078, 0.747, 21.5%)","Gas (0.8981, 0.747, 20.2%)","Gas (0.8855, 0.747, 18.5%)","Gas (0.8717, 0.747, 16.7%)","Gas (0.862, 0.747, 15.4%)","Gas (0.8548, 0.747, 14.4%)","Gas (0.8481, 0.747, 13.5%)","Gas (0.8402, 0.747, 12.5%)","Gas (0.8358, 0.747, 11.9%)",0.747,0.747,0.0
2023-10-05,"Electricity (0.7244, 0.781, 7.2%)","Electricity (0.7244, 0.781, 7.2%)","Electricity (0.7346, 0.781, 5.9%)","Electricity (0.7551, 0.781, 3.3%)","Electricity (0.7686, 0.781, 1.6%)","Electricity (0.7764, 0.781, 0.6%)","Electricity (0.7809, 0.781, 0.0%)","Gas (0.8102, 0.781, 3.7%)","Gas (0.9147, 0.781, 17.1%)","Gas (1.0395, 0.781, 33.1%)","Gas (1.0835, 0.781, 38.7%)","Gas (1.0987, 0.781, 40.7%)",0.781,0.7641,2.16
2023-10-04,"Electricity (0.7249, 0.784, 7.5%)","Electricity (0.7245, 0.784, 7.6%)","Electricity (0.733, 0.784, 6.5%)","Electricity (0.7499, 0.784, 4.3%)","Electricity (0.7587, 0.784, 3.2%)","Electricity (0.7628, 0.784, 2.7%)","Electricity (0.7653, 0.784, 2.4%)","Electricity (0.7679, 0.784, 2.1%)","Electricity (0.7712, 0.784, 1.6%)","Electricity (0.7728, 0.784, 1.4%)","Electricity (0.7716, 0.784, 1.6%)","Electricity (0.7703, 0.784, 1.7%)",0.784,0.7561,3.56
2023-10-03,"Gas (1.3813, 0.727, 90.0%)","Gas (1.1815, 0.727, 62.5%)","Gas (1.0699, 0.727, 47.2%)","Gas (1.0438, 0.727, 43.6%)","Gas (0.9977, 0.727, 37.2%)","Gas (0.9653, 0.727, 32.8%)","Gas (0.9402, 0.727, 29.3%)","Gas (0.9204, 0.727, 26.6%)","Gas (0.9133, 0.727, 25.6%)","Gas (0.906, 0.727, 24.6%)","Gas (0.8953, 0.727, 23.1%)","Gas (0.8892, 0.727, 22.3%)",0.727,0.727,0.0
2023-10-02,"Gas (1.4244, 0.808, 76.3%)","Gas (1.4245, 0.808, 76.3%)","Gas (1.4663, 0.808, 81.5%)","Gas (1.5444, 0.808, 91.1%)","Gas (1.5571, 0.808, 92.7%)","Gas (1.5368, 0.808, 90.2%)","Gas (1.5186, 0.808, 87.9%)","Gas (1.5137, 0.808, 87.3%)","Gas (1.5635, 0.808, 93.5%)","Gas (1.6293, 0.808, 101.6%)","Gas (1.626, 0.808, 101.2%)","Gas (1.6203, 0.808, 100.5%)",0.808,0.808,0.0
2023-10-01,"Gas (1.4344, 0.824, 74.1%)","Gas (1.4, 0.824, 69.9%)","Gas (1.3915, 0.824, 68.9%)","Gas (1.3886, 0.824, 68.5%)","Gas (1.341, 0.824, 62.7%)","Gas (1.2543, 0.824, 52.2%)","Gas (1.1849, 0.824, 43.8%)","Gas (1.1612, 0.824, 40.9%)","Gas (1.2035, 0.824, 46.1%)","Gas (1.252, 0.824, 51.9%)","Gas (1.2798, 0.824, 55.3%)","Gas (1.2885, 0.824, 56.4%)",0.824,0.824,0.0
